class,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7
class_1,0.218243848,0.147592087,0.712990107,0.723761801,1,0.999998295,2.40E-14
class_1,0.219424834,0.147808047,0.785335713,0.732286538,1,0.999997745,4.00E-15
class_1,0.174250615,0.11584756,0.605285437,0.694854608,1,0.999999009,6.70E-14
class_1,0.203023108,0.137020544,0.645549805,0.71267369,1,0.999998825,4.93E-14
class_1,0.063015968,0.041881978,0.624834843,0.461227431,1,0.999993973,3.16E-14
class_2,0.285765383,0.264733279,0.193848912,0,1,7.50E-06,1.46E-12
class_2,0.379049005,0.255118052,0.911382742,0.932280198,1,4.53E-08,1
class_2,0.304659892,0.251443073,0.327234606,0.34307841,2.29E-14,5.11E-06,6.20E-13
class_2,0.368914363,0.27623852,0.425200615,0.610719535,1.06E-13,4.06E-06,2.02E-13
class_2,0.423058292,0.265897614,0.87651866,0.919736149,1,0.999999702,1
class_2,0.385052217,0.263491289,0.573030972,0.796321077,6.41E-14,2.20E-06,1.57E-14
class_2,0.39944923,0.24840228,0.927164223,0.947711948,1,0.999999741,1
class_2,0.391937077,0.243906307,0.74923107,0.910987025,8.88E-16,4.91E-07,1
class_2,0.58679178,0.407618346,0.866062136,0.909928853,1,0.999999808,3.02E-15
class_2,0.504854737,0.338960363,0.749399792,0.932786911,4.71E-15,5.74E-07,7.46E-15
class_2,0.152026168,0.099375654,0.697874183,0.508806846,1,0.999994216,1.70E-14
class_2,0.138769894,0.090481244,0.63869955,0.501889749,1,0.999994746,4.71E-14
class_2,0.15232634,0.099169755,0.751626375,0.504157778,1,0.999993503,1
class_2,0.112115921,0.071674022,0.594855252,0.470648998,1,0.999994589,7.03E-14
class_2,0.137190479,0.08859523,0.792914922,0.491602887,1,0.999992643,1
class_2,0.167398057,0.116826803,0.842150774,0.681029223,1,0.999996773,1
class_2,0.151030802,0.10513163,0.787873508,0.683523184,1,0.999997299,1
class_2,0.170585794,0.118856486,0.896259816,0.671606572,1,0.999996129,1
class_2,0.122854433,0.084302649,0.759898938,0.668529043,1,0.999997264,4.88E-15
class_2,0.157578903,0.109659626,0.941772127,0.663115637,1,0.999995493,1
class_2,0.152026168,0.099375654,0.697874183,0.508806846,1,0.999994216,1.70E-14
class_2,0.138769894,0.090481244,0.63869955,0.501889749,1,0.999994746,4.71E-14
class_2,0.15232634,0.099169755,0.751626375,0.504157778,1,0.999993503,1
class_2,0.137190479,0.08859523,0.792914922,0.491602887,1,0.999992643,1
class_2,0.01999548,0.013782773,0.820470409,0.504150487,1,0.999992681,1
class_2,0.029246183,0.019476843,0.863268681,0.501960904,1,0.999992244,1
class_2,0.020586762,0.015410194,0.91525369,0.447658196,1,0.999990659,1
class_2,0.686715048,0.600869489,0.581549711,0.381021992,1,0.999996746,1
class_2,0.692376777,0.597103907,0.665687878,0.371942159,1,0.999996193,1
class_2,0.672871075,0.591380985,0.495753808,0.404967774,1,0.999997514,1
class_2,0.68375328,0.575173246,0.760233899,0.40331568,1,0.999995946,1
class_2,0.651705207,0.56584586,0.422457684,0.43480943,1,0.999998356,1
class_2,0.639847188,0.552520487,0.608544891,0.11484872,1,0.999993463,1
class_2,0.628168799,0.540940701,0.550894497,0.144748906,1,0.999994108,1
class_2,0.608390536,0.514897223,0.502329733,0.189857612,1,0.999994905,1
class_2,0.353538086,0.231660845,0.94915531,0.96293115,1,0.999999827,7.99E-16
class_2,0.357199944,0.241635145,0.736782797,0.895504543,1.14E-14,1.06E-06,1
class_2,0.523584567,0.381520012,0.739427636,0.780165012,1,0.999998716,1
